car_company,variant,car_age,km_driven,fuel_type,seller_type,transmission_type,num_of_ownership,mileage,engine,max_power,num_of_seats,selling_price
Maruti,Swift Dzire VDI,7,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,450000
Skoda,Others,7,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5,370000
Honda,City 2017-2020 EXi,15,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78.0,5,158000
Hyundai,Others,11,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5,225000
Maruti,Others,14,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5,130000
Hyundai,Others,4,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,440000
Maruti,Wagon R LXI DUO BSIII,14,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,5,96000
Toyota,Others,10,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5,350000
Ford,Figo Diesel Celebration Edition,8,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,5,200000
Renault,Duster 110PS Diesel RxL,7,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5,500000
Maruti,Others,16,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5,92000
Maruti,Swift Dzire VDi,12,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,280000
Maruti,Wagon R LXI Minor,12,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5,180000
Mahindra,Others,5,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,5,400000
Maruti,Ertiga SHVS VDI,5,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7,778000
Hyundai,i20 1.4 CRDi Asta,9,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5,500000
Hyundai,i20 2015-2017 Asta 1.4 CRDi,5,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,680000
Mahindra,Others,10,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5,174000
Honda,WR-V i-DTEC VX,4,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5,950000
Maruti,Swift Dzire ZDI,6,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,525000
Maruti,Others,9,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5,600000
Tata,Others,3,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5,500000
Maruti,Baleno Delta 1.2,5,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,575000
Maruti,Alto 800 LXI,4,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,275000
Chevrolet,Others,8,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7,300000
Maruti,Wagon R LXI Minor,12,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,5,220000
Maruti,Omni E MPI STD BS IV,3,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,254999
Maruti,Vitara Brezza LDi Option,4,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,670000
Maruti,Others,9,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,5,150000
Hyundai,Others,3,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,730000
Maruti,Others,4,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,650000
Maruti,Others,2,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5,366000
Hyundai,Others,2,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,1149000
Datsun,Others,5,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5,150000
Tata,Safari DICOR 2.2 LX 4x2,10,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7,425000
Maruti,800 Std,9,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4,150000
Jeep,Others,2,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,5,2100000
Honda,City i VTEC VX,3,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5,925000
Honda,City V MT,8,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5,425000
Maruti,Others,3,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,5,675000
